image_url,image_ingredients_url,image_nutrition_url,url,product_name,main_category_en,allergens,ingredients_text,countries_en,brands
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/birders-blend/5lb/02730_BrdrsBlnd_5lbSU.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/birders-blend/5lb/02730_BrdrsBlnd_5lbSU_Bk.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/birders-blend/02711_KT_WB_BirdersBlend_Ingredients_GA.jpg,https://www.kaytee.com/all-products/wild-bird/birders-blend,Kaytee Birdir's Blend,bird,"wheat, corn, pea, peanut","Sunflower, Cracked Corn, Milo, Millet, Wheat, Peanuts, Calcium Carbonate, Safflower, Artificial Cherry Flavor",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/cracked-corn/94011_CrackedCorn_4lb-png.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/cracked-corn/071859940113_CrkedCorn_4lb_Back.jpg,,https://www.kaytee.com/all-products/wild-bird/cracked-corn,Kaytee Cracked Corn,bird,corn,Cracked Corn,,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/fall-migration-blend/1--Fall-Migration.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/fall-migration-blend/2-Fall-Migration.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/fall-migration-blend/3-Fall-Migration.jpg,https://www.kaytee.com/all-products/wild-bird/fall-migration-blend,Kaytee Fall Migration Blend,bird,"beef, corn, soy, oats, pea, pumpkin, peanut","Sunflower Seed, Peanuts, Hulled Sunflower Seed, Millet, Mixed Feed Nuts, Raisins, Ground Corn, Sunflower Meal, Rendered Beef Suet, Oat Groats, Hulled Pumpkin Seeds, Soybean Oil",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-honey-mixed-seed-mini-cake/19665_HoneyMiniCake_9oz-png.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-honey-mixed-seed-mini-cake/071859196657_Seed_MiniCake_9oz_pk_back.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-honey-mixed-seed-mini-cake/071859196657_Seed_MiniCake_9oz_pd_front.jpg,https://www.kaytee.com/all-products/wild-bird/kaytee-honey-mixed-seed-mini-cake,Kaytee Honey Mixed Seed Mini Cake,bird,no_allergen,"Millet, Sunflower, Milo, Calcium Carbonate, Gelatin, Honey, Dextrose",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-gourmet-seed-cake/19605_GourmetCake_2lb-png.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-gourmet-seed-cake/071859196053_Gourmet_Cake_2lb_pk_back.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-gourmet-seed-cake/071859196053_Gourmet_Cake_2lb_pd_front.jpg,https://www.kaytee.com/all-products/wild-bird/kaytee-gourmet-seed-cake, Kaytee Gourmet Seed Cake,bird,"pea, peanut","Sunflower, Safflower, Millet, Peanuts, Gelatin, Dextrose, Honey",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-mealworm-cake/00042_MealwormCake_1_4lb-png.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-mealworm-cake/071859000428_Mealworm_Cake_1-4lb_pk_back.jpg,,https://www.kaytee.com/all-products/wild-bird/kaytee-mealworm-cake,Kaytee Mealworm Cake,bird,no_allergen,"Hulled Sunflower Seed, Oil Sunflower Seed, Safflower Seed, Dried Mealworms, Gelatin, Dextrose, Honey, Glycerin",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-nut-raisin-harvest-suet/15032_NutRaisinHarvest-png.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-nut-raisin-harvest-suet/71859150321_KT_NUT_AND_RAISIN_HARVEST_SUET_12_11OZ_pd_frnt.jpg,,https://www.kaytee.com/all-products/wild-bird/kaytee-nut-raisin-harvest-suet,Kaytee Nut & Raisin Harvest Suet,bird,"beef, corn, oats, pea, peanut","Rendered Beef Suet, Corn, Oats, Raisins, Roasted Peanuts",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-nut-fruit-suet-dough/99910_NutFruitBounty_Dough-png.jpg,,,,Kaytee Nut & Fruit Suet Dough,bird,"beef, corn, oats, pea, apple, peanut","Rendered Beef Suet, Roasted Peanuts, Corn, Oats, Artificial Cherry, Berry & Apple Flavoring",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/waste-free/100061909--Kaytee-No-Mess-Blend-5-Pounds/1-01012_NoMess_5lb_Frt.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/waste-free/100061909--Kaytee-No-Mess-Blend-5-Pounds/2-01012_NoMess_5lb_Bk.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/waste-free/100061909--Kaytee-No-Mess-Blend-5-Pounds/4-01012_KT_WB_NoMess_5lb_Ingred.jpg,https://www.kaytee.com/all-products/wild-bird/no-mess,Kaytee No Mess Blend,bird,"corn, soy, pea, peanut","Hulled Sunflower, Cracked Corn, White Millet, Shelled Peanuts, Canary Grass Seed, Calcium Carbonate, Soybean Oil",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-peanut-crunch-suet-dough/99909_PeanutCrunch_Dough-png.jpg,,,https://www.kaytee.com/all-products/wild-bird/kaytee-peanut-crunch-suet-dough,Kaytee Peanut Crunch Suet Dough,bird,"beef, corn, oats, pea, peanut","Rendered Beef Suet, Roasted Peanuts, Corn, Oats",,
https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-orange-harvest-suet-dough/15732_OrangeHarvest_Dough-png.jpg,https://www.kaytee.com/-/media/Project/OneWeb/Kaytee/US/all-products/wild-bird/kaytee-orange-harvest-suet-dough/71859157320_KT_ORANGE_HARVEST_SUET_DOUGH_12_11_75OZ_pd_frnt-(1).jpg,,https://www.kaytee.com/all-products/wild-bird/kaytee-orange-harvest-suet-dough,Kaytee Orange Harvest Suet Dough,bird,"beef, corn, oats, pea, peanut","Corn, Roasted Peanuts, Rendered Beef Suet, Oats, Papaya, Artificial Orange Flavoring",,
"https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/n/p/np1005-butterfly-nectar-rev.jpg","https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/n/p/np1005-7oz-pouch-butterfly-nectar-_2_-rev.jpg",,https://www.backyardnatureproducts.com/butterfly-nectar-7-5-oz-resealable-pouch,Butterfly Nectar 7.5 oz. Resealable Pouch,bird,no_allergen,"Glucose, fructose, calcium salt. halide salt, amino acids",,
"https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/p/t/ptf-fruit.jpg",,,https://www.backyardnatureproducts.com/pine-tree-farms-fruit-berry-nut-seed-cake-case-of-8,"Pine Tree Farms Fruit, Berry, Nut, & Large Seed Cake",bird,"corn, pea, peanut","Black oil sunflower seed, white millet, corn, red millet, mixed tree nuts, peanuts, blueberries, cranberries, raisins, gelatin, flavoring",,
"https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/p/t/ptf-large-pb-suet.jpg",,,https://www.backyardnatureproducts.com/pine-tree-farms-large-peanut-suet-cake-case-of-8,Pine Tree Farms Large Peanut Butter Suet Cake,bird,"beef, pea, peanut","Rendered Beef Suet, Chopped Peanuts, Peanut Butter",,
"https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/n/e/never-melt-hot-suet-cake.jpg",,,https://www.backyardnatureproducts.com/pine-tree-farms-never-melt-suet-hot-pepper-cake-case-of-12,Pine Tree Farms Never Melt Suet Hot Pepper Cake,bird,"beef, corn, pea, peanut","Peanuts, Corn, Rendered Beef Suet, Capsaicin Pepper",,
"https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/p/t/ptf-woodpecker-seed-cake_1.jpg",,,https://www.backyardnatureproducts.com/pine-tree-farms-woodpecker-large-seed-cake-case-of-8,Pine Tree Farms Woodpecker Large Seed Cake,bird,"corn, pea, peanut, almond","Peanuts, Almonds, Cracked Corn, Sunflower Hearts, Black Oil Sunflower Seed, Peanut Butter, Gelatin",,
"https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/p/t/ptftiss-case1-rev.jpg",,,https://www.backyardnatureproducts.com/pine-tree-farms-tree-icing-case-of-8,Pine Tree Farms Tree Icing,bird,"beef, pea, peanut","Rendered Beef Suet, Peanut Butter ",,
"https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/b/s/bs-ss_spicy-signature-front-rev.jpg","https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/b/s/bs-ss_spicy_signature_back.jpeg","https://cfrouting.zoeysite.com/cdn-cgi/image/fit=scale-down,width=1200,format=auto,quality=70/https://s3.amazonaws.com/zcom-media/sites/a0i0h00000Msz9PAAR/media/catalog/product/b/s/bs-ss_spicy_signature_seed.jpeg",https://www.backyardnatureproducts.com/spicy-signature-wild-bird-food,Spicy Signature Wild Bird Food,bird,corn,"Black oil sunflower, cracked corn, white millet, red milo, specially blended oils,
crushed red pepper oil",,
